,ticker,lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
0,AMZN,150,100,75,32,adam,0.0034348813351243
1,AVY,100,150,75,64,adam,0.0019635997479781
2,AXON,150,100,50,32,adam,0.0094108153134584
3,BBWI,150,150,75,64,adam,0.0083115673158317
4,BKNG,150,100,50,32,adam,0.0037710411008447
5,BLDR,100,150,50,32,adam,0.0109492952004075
6,CBRE,150,100,75,32,adam,0.0040597959188744
7,CDNS,150,100,50,32,adam,0.0022101199254393
8,CE,150,50,50,64,adam,0.0030631746398285
9,CF,100,100,50,32,adam,0.0045467459131032
10,CHD,100,100,75,32,adam,0.0020570036605931
11,CMCSA,150,50,75,64,adam,0.0021477602655068
12,CMS,150,100,50,32,adam,0.0014306890428997
13,CNC,100,150,75,32,adam,0.0034330393187701
14,COST,150,100,50,32,adam,0.0017087786924093
15,DECK,100,150,50,32,adam,0.0040890387259423
16,DLTR,100,50,75,32,adam,0.0038121962919831
17,EA,100,50,75,32,adam,0.0041010901797562
18,EQIX,100,50,50,32,adam,0.0016029523219913
19,FI,100,150,50,32,adam,0.002127628319431
20,FICO,150,50,75,32,adam,0.0026466877898201
21,GOOGL,100,150,75,32,adam,0.0021283417474478
22,INCY,100,150,75,64,adam,0.005630232905969
23,LULU,100,100,50,32,adam,0.0051344955340027
24,MA,100,100,50,32,adam,0.0024313116213306
25,MOH,150,150,50,32,adam,0.0045914832502603
26,NDAQ,100,100,75,32,adam,0.0013543770881369
27,NI,100,150,75,32,adam,0.0017644989304244
28,NVDA,150,100,75,32,adam,0.0057199169183149
29,ODFL,100,100,50,32,adam,0.0026279144454747
30,OKE,100,150,75,32,adam,0.0061991241760551
31,PKG,150,50,50,64,adam,0.0029936571838334
32,SBAC,100,100,75,32,adam,0.0019644171465188
33,STLD,100,150,50,32,adam,0.0041075102519243
34,TDG,100,150,50,32,adam,0.0034542374778538
35,TGT,150,150,75,64,adam,0.0032344734761863
36,TYL,100,150,75,32,adam,0.0028963297838345
37,UNH,150,100,50,32,adam,0.0020237632328644
38,URI,100,150,75,32,adam,0.005844872072339
39,V,150,100,50,32,adam,0.0020797780482098
40,VLO,150,100,50,32,adam,0.0060544140171259
41,WST,100,100,50,32,adam,0.0023881112458184
