lstm_units,dense_units1,dense_units2,optimizer,avg_val_mse
50,50,25,adam,0.003732756385579705
50,50,25,rmsprop,0.005828815465793014
50,50,50,adam,0.00845969612710178
50,50,50,rmsprop,0.005913019273430109
50,50,75,adam,0.0038373661693185566
50,50,75,rmsprop,0.004878582758828997
50,100,25,adam,0.00818872512318194
50,100,25,rmsprop,0.008873838325962424
50,100,50,adam,0.005146722868084907
50,100,50,rmsprop,0.00540467775426805
50,100,75,adam,0.0035858967341482638
50,100,75,rmsprop,0.005582173075526953
50,150,25,adam,0.003374146716669202
50,150,25,rmsprop,0.009122338285669685
50,150,50,adam,0.0038642448838800193
50,150,50,rmsprop,0.005933653842657804
50,150,75,adam,0.004088073642924428
50,150,75,rmsprop,0.005246073380112648
100,50,25,adam,0.0037898045498877763
100,50,25,rmsprop,0.0056057701818645
100,50,50,adam,0.0033090020529925822
100,50,50,rmsprop,0.007944559492170811
100,50,75,adam,0.003812682395800948
100,50,75,rmsprop,0.009083861857652665
100,100,25,adam,0.003898106049746275
100,100,25,rmsprop,0.008774399710819124
100,100,50,adam,0.003932232828810811
100,100,50,rmsprop,0.009149229573085903
100,100,75,adam,0.0040844626724720005
100,100,75,rmsprop,0.007083337381482124
100,150,25,adam,0.003561103018000722
100,150,25,rmsprop,0.006359445722773671
100,150,50,adam,0.0033707520458847286
100,150,50,rmsprop,0.005372258555144072
100,150,75,adam,0.00356949488632381
100,150,75,rmsprop,0.0038746302016079426
150,50,25,adam,0.003583633480593562
150,50,25,rmsprop,0.006606644531711936
150,50,50,adam,0.0041824380401521925
150,50,50,rmsprop,0.00896294554695487
150,50,75,adam,0.006054777139797807
150,50,75,rmsprop,0.008526159264147282
150,100,25,adam,0.003619627095758915
150,100,25,rmsprop,0.010962339211255312
150,100,50,adam,0.0032149143517017365
150,100,50,rmsprop,0.007818970596417785
150,100,75,adam,0.0036306412890553474
150,100,75,rmsprop,0.011633700178936123
150,150,25,adam,0.004128036741167307
150,150,25,rmsprop,0.010146707016974687
150,150,50,adam,0.004251814307644963
150,150,50,rmsprop,0.008757352130487561
150,150,75,adam,0.0039850293658673765
150,150,75,rmsprop,0.008589667920023202
